id,firm,contact_person,segment,sub_sector,region,size_signal,email,email_type,website,linkedin,phone,public_tender,conversion_estimate,conversion_rationale,source,verification_status,status,notes
L-0001,Tsaks Consulting,Jason Cooney,Consultancy,consultancy,London,"85% win, London office, gov specialists",info@tsaksconsulting.com,domain,tsaksconsulting.com,not_found,not_found,n/a,High,Only consultancy with a public email; decides fast; bids daily,traction-research.md,partial,Not contacted,Reachable by email now despite LinkedIn lockout | re-verified: Jason Cooney confirmed founder; exact email not visible on page
L-0002,Tender Victory,Vicki Stewart,Consultancy,consultancy,South West,SME-majority clients; founder ex public-sector buyer (MCIPS),not_found,none,not_found,/in/vicki-stewart-42a58a2a,07971 526587,n/a,High,Top validator (scored bids from the buyer side); phone is public; founder-led fast decision,traction-research.md,partial,Not contacted,Has a public phone number - callable without LinkedIn
L-0003,Thornton & Lowe,Dave Thornton,Consultancy,consultancy,Bolton,"~48 staff, largest UK SME bid consultancy",hello@thorntonandlowe.com,domain,thorntonandlowe.com,/in/dave-thornton-56833625,not_found,n/a,High,"Public email confirmed; largest UK SME consultancy - headline-quote target, reachable now",thorntonandlowe.com/contact,verified,Not contacted,Draft ready (crm/drafts/L-0003.md). Generic inbox - warm-engage Dave's posts too | re-verified: hello@ confirmed live; Dave Thornton not shown on page
L-0004,Executive Compass,Neil Capstick,Consultancy,consultancy,Newcastle,"est 2009, 7,000+ bids, social-value lead",info@executivecompass.co.uk,domain,executivecompass.co.uk,/in/tenderwriter,not_found,n/a,High,Public email confirmed; auditability/social-value angle fits; reachable now,executivecompass.co.uk/contact,partial,Not contacted,Draft ready (crm/drafts/L-0004.md) | re-verified: info@ confirmed; Neil Capstick not among listed leadership
L-0005,BFT Consult,Ian Evans,Consultancy,consultancy,Liverpool,"80%+ win, GBP950m+; H&SC specialist",info@bftconsult.com,domain,bftconsult.com,/in/evansi,not_found,n/a,High,Public email confirmed; H&SC specialist - pair with a care-framework ITT,bftconsult.com/contact,partial,Not contacted,"Draft ready (crm/drafts/L-0005.md) | re-verified: info@ confirmed; only first name Ian shown, surname unconfirmed"
L-0006,Della Pip,Katrina Gibson,Consultancy,consultancy,UK,"founder-led, 15+ yrs, care sector",not_found,none,not_found,/in/katrina-gibson-2278516b,not_found,n/a,Medium,Care-sector director; LinkedIn-only,traction-research.md,partial,Not contacted,H&SC specialist
L-0007,Silverlock Tenders,Dewi Hughes,Consultancy,consultancy,UK,small/independent,not_found,none,not_found,/in/dewihughes,not_found,n/a,Medium,"Solo - replies personally, tries on a live bid; LinkedIn-only",traction-research.md,partial,Not contacted,Fast personal reply likely
L-0008,Tenders UK,Christopher Martin,Consultancy,consultancy,UK,"est 2008, 4,000+ bids, care/FM",not_found,none,not_found,/in/winmoretenders,not_found,n/a,Medium,Care/FM specialist; LinkedIn-only,traction-research.md,partial,Not contacted,Live demo on a sector ITT
L-0009,Independent (Stuart Reed),Stuart Reed,Consultancy,freelance,UK,solo bid-writing expert,not_found,none,not_found,/in/stuart-reed,not_found,n/a,Medium,"Solo, active, fast personal reply; LinkedIn-only",traction-research.md,unverified,Not contacted,Try website/Gmail before LinkedIn
L-0010,Independent (Julian Clarke),Julian Clarke,Consultancy,freelance,UK,"solo, helps SMEs",not_found,none,not_found,/in/julian-clarke-a156bb50,not_found,n/a,Medium,"Solo, personal reply likely; LinkedIn-only",traction-research.md,unverified,Not contacted,
L-0011,Think Tenders,Amanda Goode,Consultancy,consultancy,Birmingham,"freelance, multi-award SME bid shop",amanda@thinktenders.co.uk,domain,thinktenders.co.uk,/in/thinktenders,not_found,n/a,High,"Founder-direct email confirmed - best kind of inbox; freelance, fast personal reply",thinktenders.co.uk/contact,verified,Not contacted,"Draft ready (crm/drafts/L-0011.md). amanda@ goes straight to the founder | re-verified: amanda@ confirmed live, Amanda Goode is principal"
